categoryBgColor,categoryColor,categoryFont,createdAt,description,heroBackgroundImage,heroGradientFrom,heroGradientTo,heroGradientVia,heroSubtitle,heroSubtitleColor,heroSubtitleFont,heroSubtitleSize,heroTitleColor,heroTitleFont,heroTitleSize,id,name,parentId,updatedAt,wallManagerId
#ffffff,#1f2937,sans-serif,2026-02-16T09:13:43.738000,Genel konular ve paylaşımlar,,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmloyj29m0007sx0xyddo681w,Genel,,2026-02-16T09:13:43.738000,
#ffffff,#1f2937,sans-serif,2026-02-16T09:13:43.740000,"Teknoloji, yazılım ve yenilikler",,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmloyj29o0009sx0x70md4s9i,Teknoloji,,2026-02-16T09:13:43.740000,cmloyj23t0002sx0xnemnge4m
#ffffff,#1f2937,sans-serif,2026-02-16T09:13:43.742000,"Sanat, müzik ve kültür",,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmloyj29q000bsx0x86vvhkko,Sanat,,2026-02-16T09:13:43.742000,cmloyj25q0003sx0xrwbljnxv
#ffffff,#1f2937,sans-serif,2026-02-16T09:13:43.744000,Eğitim ve öğrenme kaynakları,,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmloyj29s000dsx0x45sstyz9,Eğitim,,2026-02-16T09:13:43.744000,
#ffffff,#1f2937,sans-serif,2026-02-16T09:13:43.745000,Sosyal etkinlikler ve buluşmalar,,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmloyj29t000fsx0xsyrffm4q,Sosyal,,2026-02-16T09:13:43.745000,
#ffffff,#1f2937,sans-serif,2026-02-16T09:13:43.747000,Spor haberleri ve etkinlikler,,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmloyj29u000hsx0xwxxyf0q0,Spor,,2026-02-16T09:13:43.747000,
#ffffff,#1f2937,sans-serif,2026-02-16T13:34:20.309000,Satılık Vasıt İlanları,,#facc15,#a855f7,#f472b6,Satılık Vasıta İlanları Burada,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmlp7u7it0003qw08umqs1clz,Vasıta,cmlp7t3on0001qw08bvmfiwci,2026-02-16T13:35:00.123000,
#ffffff,#1f2937,sans-serif,2026-02-16T14:45:29.587000,Her Türlü Emlak İlanlarınız,,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmlpadppu0009o108rw86njuz,Emlak,cmlp7t3on0001qw08bvmfiwci,2026-02-16T14:45:29.587000,
#ffffff,#1f2937,sans-serif,2026-02-16T14:46:45.722000,Kiralık Emlak,,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmlpafcgq000bo108yc1g4nni,Kiralık,cmlp7t3on0001qw08bvmfiwci,2026-02-16T14:46:45.722000,
#ffffff,#1f2937,sans-serif,2026-02-16T22:26:59.925000,2. el eşya satış ilanları,,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmlpqv7pw0001v70q7xvr3pyk,2. El,,2026-02-16T22:26:59.925000,cmloyj21r0000sx0xyhzs1pji
#ffffff,#1f2937,sans-serif,2026-02-16T13:33:28.679000,İlanlar,,#facc15,#a855f7,#f472b6,,#ffffff,sans-serif,xl,#ffffff,sans-serif,5xl,cmlp7t3on0001qw08bvmfiwci,İlanlar,,2026-02-17T06:15:15.365000,cmloyj21r0000sx0xyhzs1pji
