id,name,createdAt,updatedAt
"cmmi8ip2m0000w8inp87jwwm8","Adana","2026-03-08T20:58:41.902Z","2026-03-08T20:58:41.902Z"
"cmmi8ip4e000vw8in9xio27cl","Adıyaman","2026-03-08T20:58:41.967Z","2026-03-08T20:58:41.967Z"
"cmmi8ip5l001ew8ins3ty8cyp","Afyonkarahisar","2026-03-08T20:58:42.009Z","2026-03-08T20:58:42.009Z"
"cmmi8ip7o002fw8ins1yj6nfl","Ağrı","2026-03-08T20:58:42.084Z","2026-03-08T20:58:42.084Z"
"cmmi8ip8o002ww8in849vwu5h","Amasya","2026-03-08T20:58:42.121Z","2026-03-08T20:58:42.121Z"
"cmmi8ip9h003bw8inc70htvyb","Ankara","2026-03-08T20:58:42.149Z","2026-03-08T20:58:42.149Z"
"cmmi8ipco004qw8incie8cyb9","Antalya","2026-03-08T20:58:42.264Z","2026-03-08T20:58:42.264Z"
"cmmi8ipeu005tw8inxcjmpok1","Artvin","2026-03-08T20:58:42.342Z","2026-03-08T20:58:42.342Z"
"cmmi8ipg4006cw8inqe15a9mp","Aydın","2026-03-08T20:58:42.388Z","2026-03-08T20:58:42.388Z"
"cmmi8iphv007bw8inwki0bue6","Balıkesir","2026-03-08T20:58:42.451Z","2026-03-08T20:58:42.451Z"
"cmmi8ipk7008gw8in9qzxrj87","Bilecik","2026-03-08T20:58:42.536Z","2026-03-08T20:58:42.536Z"
"cmmi8ipl6008xw8ine4tqil5x","Bingöl","2026-03-08T20:58:42.571Z","2026-03-08T20:58:42.571Z"
"cmmi8ipm1009ew8inqa9ha0gb","Bitlis","2026-03-08T20:58:42.602Z","2026-03-08T20:58:42.602Z"
"cmmi8ipmv009tw8innclfh91o","Bolu","2026-03-08T20:58:42.632Z","2026-03-08T20:58:42.632Z"
"cmmi8ipnx00acw8in21te86ky","Burdur","2026-03-08T20:58:42.669Z","2026-03-08T20:58:42.669Z"
"cmmi8ipp300azw8inrw7800hp","Bursa","2026-03-08T20:58:42.712Z","2026-03-08T20:58:42.712Z"
"cmmi8ipqz00byw8inn1w36znb","Çanakkale","2026-03-08T20:58:42.779Z","2026-03-08T20:58:42.779Z"
"cmmi8ipsf00cnw8in7hdlb6tx","Çankırı","2026-03-08T20:58:42.832Z","2026-03-08T20:58:42.832Z"
"cmmi8ipts00dcw8inddittbh3","Çorum","2026-03-08T20:58:42.881Z","2026-03-08T20:58:42.881Z"
"cmmi8ipvb00e5w8ing1yrnyk6","Denizli","2026-03-08T20:58:42.935Z","2026-03-08T20:58:42.935Z"
"cmmi8ipxg00f8w8inrpjyhlhf","Diyarbakır","2026-03-08T20:58:43.013Z","2026-03-08T20:58:43.013Z"
"cmmi8ipz900g7w8inmd64ushq","Edirne","2026-03-08T20:58:43.077Z","2026-03-08T20:58:43.077Z"
"cmmi8iq0d00gqw8indzva7cks","Elazığ","2026-03-08T20:58:43.117Z","2026-03-08T20:58:43.117Z"
"cmmi8iq1i00hdw8in20qzkz4i","Erzincan","2026-03-08T20:58:43.159Z","2026-03-08T20:58:43.159Z"
"cmmi8iq2i00hww8inqmwygd83","Erzurum","2026-03-08T20:58:43.194Z","2026-03-08T20:58:43.194Z"
"cmmi8iq4m00j1w8intjq485v2","Eskişehir","2026-03-08T20:58:43.270Z","2026-03-08T20:58:43.270Z"
"cmmi8iq6d00juw8ino6kn6e94","Gaziantep","2026-03-08T20:58:43.334Z","2026-03-08T20:58:43.334Z"
"cmmi8iq7f00kdw8in5mwbummx","Giresun","2026-03-08T20:58:43.371Z","2026-03-08T20:58:43.371Z"
"cmmi8iq9200law8inyrcrctf9","Gümüşhane","2026-03-08T20:58:43.430Z","2026-03-08T20:58:43.430Z"
"cmmi8iq9r00lnw8in5xa9c0fo","Hakkari","2026-03-08T20:58:43.455Z","2026-03-08T20:58:43.455Z"
"cmmi8iqab00lyw8ink9oxpcsm","Hatay","2026-03-08T20:58:43.476Z","2026-03-08T20:58:43.476Z"
"cmmi8iqbu00mtw8inflo4c7ul","Isparta","2026-03-08T20:58:43.530Z","2026-03-08T20:58:43.530Z"
"cmmi8iqd900nkw8inm1wzfc5j","Mersin","2026-03-08T20:58:43.582Z","2026-03-08T20:58:43.582Z"
"cmmi8iqem00obw8in9os9mikw","İstanbul","2026-03-08T20:58:43.631Z","2026-03-08T20:58:43.631Z"
"cmmi8iqil00qiw8in5nbsj7gk","İzmir","2026-03-08T20:58:43.774Z","2026-03-08T20:58:43.774Z"
"cmmi8iqlz00s7w8inpo0bdjiy","Kars","2026-03-08T20:58:43.895Z","2026-03-08T20:58:43.895Z"
"cmmi8iqmw00sow8in85z33e44","Kastamonu","2026-03-08T20:58:43.928Z","2026-03-08T20:58:43.928Z"
"cmmi8iqp000ttw8in01ngsqmr","Kayseri","2026-03-08T20:58:44.004Z","2026-03-08T20:58:44.004Z"
"cmmi8iqqp00uqw8in845rit83","Kırklareli","2026-03-08T20:58:44.065Z","2026-03-08T20:58:44.065Z"
"cmmi8iqrm00v7w8inow10fvv8","Kırşehir","2026-03-08T20:58:44.098Z","2026-03-08T20:58:44.098Z"
"cmmi8iqse00vmw8iniez2qjlo","Kocaeli","2026-03-08T20:58:44.127Z","2026-03-08T20:58:44.127Z"
"cmmi8iqtn00wbw8inctr863jw","Konya","2026-03-08T20:58:44.172Z","2026-03-08T20:58:44.172Z"
"cmmi8iqww00y2w8inwb00cjd5","Kütahya","2026-03-08T20:58:44.289Z","2026-03-08T20:58:44.289Z"
"cmmi8iqyi00ytw8intct5wmj1","Malatya","2026-03-08T20:58:44.347Z","2026-03-08T20:58:44.347Z"
"cmmi8iqzy00zkw8in6ic31lhj","Manisa","2026-03-08T20:58:44.398Z","2026-03-08T20:58:44.398Z"
"cmmi8ir1q010jw8ing6ramqqj","Kahramanmaraş","2026-03-08T20:58:44.462Z","2026-03-08T20:58:44.462Z"
"cmmi8ir2x0116w8inqh5k9jtb","Mardin","2026-03-08T20:58:44.506Z","2026-03-08T20:58:44.506Z"
"cmmi8ir40011rw8inrql4y0ou","Muğla","2026-03-08T20:58:44.545Z","2026-03-08T20:58:44.545Z"
"cmmi8ir5f012iw8in7n5x2mey","Muş","2026-03-08T20:58:44.595Z","2026-03-08T20:58:44.595Z"
"cmmi8ir64012vw8inbotg7n50","Nevşehir","2026-03-08T20:58:44.621Z","2026-03-08T20:58:44.621Z"
"cmmi8ir71013cw8in47h4e7ms","Niğde","2026-03-08T20:58:44.653Z","2026-03-08T20:58:44.653Z"
"cmmi8ir7w013pw8in0zx5nub3","Ordu","2026-03-08T20:58:44.685Z","2026-03-08T20:58:44.685Z"
