id,name,description,parentId,createdAt,updatedAt,heroBackgroundImage,isHeroTransparent,heroSubtitle,heroTitleFont,heroTitleColor,heroTitleSize,heroSubtitleFont,heroSubtitleColor,heroSubtitleSize,heroGradientFrom,heroGradientVia,heroGradientTo,categoryFont,categoryColor,categoryBgColor,ribbonColor,postCount,userGroupId,cityId,districtId,heroAlignment,backgroundColor,backgroundImage,borderBottomColor,borderColor,borderTopColor,gradientFrom,gradientTo,gradientVia,isGradient,isWallTransparent,isWallBackgroundRepeat,noBorder,navMenuBgColor,navMenuFont,navMenuFontSize,navMenuMainBold,navMenuTextColor,siteBackgroundColor,siteBackgroundImage,siteGradientFrom,siteGradientTo,siteGradientVia,siteIsGradient,contactName,contactPhone,contactEmail,homeCategoryIds,postitLimit,order,icon,logoUrl,logoPosition,logoSize,useParentLogo,useCustomLayout,customLayout
cmmhv4m76000dw8z0uyxrcpjh,EĞİTİM,Eğitim ve öğrenme kaynakları,,2026-03-08T14:43:49.987Z,2026-03-17T19:05:01.445Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#209228,1,,,,left,,/uploads/7e376aa1-56f5-4da4-9ef0-d786ce553506-mantar.png,,,,#facc15,#a855f7,#f472b6,false,false,true,true,,sans-serif,14,true,,,,,,,false,,,,"[]",0,20,📚,,top-right,medium,false,false,"[{""id"":""uk6vpirmc"",""type"":""category_posts"",""title"":""Yeni Blok"",""width"":""full"",""categoryId"":"""",""ribbonColor"":""#502bb1""}]"
cmmhvhwof0001w8q547vndb0c,Ana Duvar,Tüm Kategoriler,,2026-03-08T14:54:10.095Z,2026-03-17T20:01:11.051Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,cmmifkfzs0000w8k816wu7s2u,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,true,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,10,📌,/uploads/6749f4eb-a2c6-4483-8c41-1a8d577f3282-sehir_yan.png,page-top-left,xlarge,false,true,"[{""id"":""something"",""type"":""category_posts"",""title"":""Üniversiteler"",""width"":""third"",""noBorder"":true,""categoryId"":""cmmi9hgrq0009w8i59gfpxacc"",""ribbonText"":""Üniversiteler"",""titleImage"":""/uploads/561756af-d86b-4021-b0cb-802fbf2fab27-baslikzemin3.png"",""ribbonColor"":""#502bb1"",""isTransparent"":true,""backgroundColor"":""#f4d18a"",""backgroundImage"":""/uploads/0096ea45-cdb8-41bb-9c61-8e30bff90ec8-kedi.png""},{""id"":""8angwzbzb"",""type"":""category_posts"",""title"":""9 Eylül Üniversitesi"",""width"":""third"",""noBorder"":true,""categoryId"":""cmmi9ns2p000fw8i5r8cf022t"",""titleImage"":""/uploads/d20ed45b-670a-43ac-9c41-b54ab41b8ec7-baslikzemin1.png"",""ribbonColor"":""#502bb1"",""isTransparent"":true,""backgroundImage"":""/uploads/b1e2ceb1-cad5-493f-bcc1-8612e5a09135-manav.png""},{""id"":""lr58icnew"",""type"":""category_posts"",""title"":""Eğitim"",""width"":""third"",""noBorder"":true,""categoryId"":""cmmhv4m76000dw8z0uyxrcpjh"",""titleImage"":""/uploads/31dbe1ad-27e2-41da-92c2-23d3c2b4890e-baslikzemin4.png"",""ribbonColor"":""#502bb1"",""isTransparent"":true,""backgroundImage"":""/uploads/33daa92a-a3e5-4d43-b48f-dce531e8a6a3-panozemin1.png""}]"
cmmi9hgrq0009w8i59gfpxacc,Üniversiteler,Üniversiteler,,2026-03-08T21:25:44.102Z,2026-03-17T20:07:51.632Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#443c58,2,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,true,true,,sans-serif,14,true,,,,,,,false,,,,"[""cmmi9ns2p000fw8i5r8cf022t"",""cmmi9m7y5000cw8i5fwch41rs""]",10,50,🎓,,top-right,medium,false,false,"[]"
cmmi9m7y5000cw8i5fwch41rs,Ege Üniversitesi,Ege Üniversitesi,cmmi9hgrq0009w8i59gfpxacc,2026-03-08T21:29:25.950Z,2026-03-16T00:31:46.237Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#4d14db,0,cmmi9fwpc0006w8i5z29vd3gx,cmmi8iqil00qiw8in5nbsj7gk,cmmi8iqjc00qww8inr5ro09xe,left,,,,,,#facc15,#a855f7,#f472b6,false,false,true,true,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmi9ns2p000fw8i5r8cf022t,9 Eylül Üniversitesi,Kalem Sizde,cmmi9hgrq0009w8i59gfpxacc,2026-03-08T21:30:38.690Z,2026-03-12T22:02:28.969Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#f20742,0,,cmmi8iqil00qiw8in5nbsj7gk,cmmi8iqjg00qyw8inowc87ned,left,,,,,,#facc15,#a855f7,#f472b6,false,false,true,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,
cmmn3ril30001w8hw4kvzt44v,Seçmece,Seçmece,,2026-03-12T06:44:26.199Z,2026-03-17T19:15:44.277Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,1,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[""cmmi9m7y5000cw8i5fwch41rs"",""cmmi9ns2p000fw8i5r8cf022t""]",0,70,💰,,top-right,medium,false,false,"[]"
cmmugfiye0001w8da1rbxj37w,Üniversiteler,Üniversiteler,cmmhv4m76000dw8z0uyxrcpjh,2026-03-17T10:13:25.046Z,2026-03-17T10:31:47.973Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,0,,,top-right,medium,false,false,"[]"
cmmugh51w0007w8daxceiegh1,Kurslar,Kurslar,cmmhv4m76000dw8z0uyxrcpjh,2026-03-17T10:14:40.340Z,2026-03-17T10:31:47.973Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,10,,,top-right,medium,false,false,"[]"
cmmuginup000aw8daj7nm6i4x,Özel Dersler,Özel Dersler,cmmhv4m76000dw8z0uyxrcpjh,2026-03-17T10:15:51.360Z,2026-03-17T10:31:47.973Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,20,,,top-right,medium,false,false,"[]"
cmmugj6n7000dw8da212np6fl,Özel Okullar,Özel Okullar,cmmhv4m76000dw8z0uyxrcpjh,2026-03-17T10:16:15.715Z,2026-03-17T10:31:47.973Z,,false,,sans-serif,#ffffff,5xl,sans-serif,#ffffff,xl,#facc15,#f472b6,#a855f7,sans-serif,#1f2937,#ffffff,#502bb1,0,,,,left,,,,,,#facc15,#a855f7,#f472b6,false,false,,false,,sans-serif,14,true,,,,,,,false,,,,"[]",0,30,,,top-right,medium,false,false,"[]"
