id,categoryId,images,isActive,createdAt,updatedAt,links,backgroundColor,heroGradientFrom,heroGradientTo,heroGradientVia,isGradient,isTransparent,backgroundImage
cmmhvkene0002w8q59febb99i,,"[""/uploads/7f04961e-65c1-4b3e-8da4-d7fd5414c1ac-panosehir4.png"",""/uploads/97d4815d-5b52-4a3f-90eb-0fbbf4bacbee-izmir6.webp"",""/uploads/d22b6ae6-164d-41a1-9354-2205e2c99795-izmir2.webp"",""/uploads/521871b7-cdc4-481b-8858-611a46933d00-izmir3.webp"",""/uploads/7783d71b-2bf7-4c75-9e0e-431e34feacf8-izmir5.webp""]",true,2026-03-08T14:56:06.699Z,2026-03-15T21:43:28.603Z,"["""","""","""","""",""""]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,/uploads/e46086d6-e6c3-4d88-8191-fa065e2fb842-WhatsApp_Image_2026-03-12_at_23.17.00.jpeg
cmmi00p3n0000w8b0fwjyxs8e,cmmhv4m76000dw8z0uyxrcpjh,"[]",false,2026-03-08T17:00:45.204Z,2026-03-17T19:05:01.496Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmi9hgsr000aw8i53f2glxg2,cmmi9hgrq0009w8i59gfpxacc,"[]",false,2026-03-08T21:25:44.139Z,2026-03-17T20:07:52.987Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmi9m7zn000dw8i5bp7pnp85,cmmi9m7y5000cw8i5fwch41rs,"[]",true,2026-03-08T21:29:26.004Z,2026-03-16T00:31:46.340Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmi9ns43000gw8i55odxspz7,cmmi9ns2p000fw8i5r8cf022t,"[]",true,2026-03-08T21:30:38.739Z,2026-03-12T09:56:36.589Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmn3rily0002w8hw0v07u9zu,cmmn3ril30001w8hw4kvzt44v,"[]",true,2026-03-12T06:44:26.231Z,2026-03-17T19:15:44.342Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmugfizm0002w8daj2y5rfnb,cmmugfiye0001w8da1rbxj37w,"[]",true,2026-03-17T10:13:25.090Z,2026-03-17T10:13:25.090Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmugh5320008w8dawhvdp9x3,cmmugh51w0007w8daxceiegh1,"[]",true,2026-03-17T10:14:40.383Z,2026-03-17T10:14:40.383Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuginvz000bw8da2omq3lpv,cmmuginup000aw8daj7nm6i4x,"[]",true,2026-03-17T10:15:51.408Z,2026-03-17T10:15:51.408Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmugj6oe000ew8dakmq8n0jl,cmmugj6n7000dw8da212np6fl,"[]",true,2026-03-17T10:16:15.758Z,2026-03-17T10:16:15.758Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuh4vsf0002w8wtz96xd703,cmmuh4vr50001w8wtt7bqv9mc,"[]",false,2026-03-17T10:33:08.079Z,2026-03-17T18:54:08.304Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuh5fyn0005w8wtpb7bivfi,cmmuh5fxg0004w8wtvnivnd9j,"[]",true,2026-03-17T10:33:34.223Z,2026-03-17T10:33:34.223Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuh61m10008w8wt10qb8m4f,cmmuh61kz0007w8wtc0tm11gr,"[]",true,2026-03-17T10:34:02.281Z,2026-03-17T10:34:02.281Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuh6q0s000bw8wt6vnazt1m,cmmuh6pzv000aw8wtse8wpplc,"[]",true,2026-03-17T10:34:33.917Z,2026-03-17T10:34:33.917Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuh7axp000ew8wtq79hvsyj,cmmuh7awk000dw8wttcr3a2wy,"[]",true,2026-03-17T10:35:01.022Z,2026-03-17T10:35:01.022Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuh7puh000hw8wthzrjr51m,cmmuh7ptl000gw8wt3iilf3js,"[]",true,2026-03-17T10:35:20.345Z,2026-03-17T10:35:20.345Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuh8gbi000kw8wtzxqjjr01,cmmuh8gae000jw8wtf4egdphf,"[]",true,2026-03-17T10:35:54.654Z,2026-03-17T10:35:54.654Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
cmmuh8xgf000nw8wt11jej466,cmmuh8xfi000mw8wt0wpqbl19,"[]",true,2026-03-17T10:36:16.863Z,2026-03-17T10:36:16.863Z,"[]",#f8f9fa,#facc15,#a855f7,#f472b6,false,false,
